排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
60,2385,群光,電子零組件業,上市,5,1298,3734
61,8021,尖點,其他電子業,上市,3,581,3692
62,3264,欣銓,半導體業,上櫃,5,1315,3596
63,6509,聚和,化學工業,上櫃,5,771,3596
64,3709,鑫聯大投控,電腦及週邊設備業,上櫃,5,198,3595
65,2406,國碩,光電業,上市,4,1443,3502
66,4533,協易機,電機機械,上櫃,5,213,3210
67,8473,山林水,綠能環保,上市,5,659,3184
68,8070,長華*,電子通路業,上市,3,3495,3110
69,4739,康普,化學工業,上市,4,306,3057
70,1514,亞力,電機機械,上市,4,369,2956
71,3591,艾笛森,光電業,上市,5,603,2937
72,3265,台星科,半導體業,上櫃,5,392,2932
73,3227,原相,半導體業,上櫃,5,223,2799
74,3413,京鼎,半導體業,上市,5,229,2798
75,3010,華立,電子通路業,上市,5,544,2720
76,3034,聯詠,半導體業,上市,5,166,2708
77,6290,良維,電子零組件業,上櫃,3,2146,2640
78,6425,易發,電機機械,上櫃,4,2138,2526
79,3596,智易,通信網路業,上市,5,376,2450
80,2464,盟立,其他電子業,上市,3,3374,2445
81,2885,元大金,金融保險業,上市,4,6239,2393
82,3026,禾伸堂,電子零組件業,上市,5,439,2297
83,4749,新應材,半導體業,上櫃,5,5,2267
84,8163,達方,電腦及週邊設備業,上市,4,710,2233
85,2392,正崴,電子零組件業,上市,5,279,2181
86,2472,立隆電,電子零組件業,上市,3,2701,2118
87,4916,事欣科,電腦及週邊設備業,上市,3,235,1971
88,3402,漢科,其他電子業,上櫃,4,1230,1906
89,3372,典範,半導體業,上櫃,5,98,1874
